Principal Component 1,Principal Component 2
-1.6482379815289017,0.2931593656253629
-0.1140944032117778,1.3555986087930394
1.0771598894205,1.7223017660207716
-2.9639513864250824,-1.133532601019345
-0.37449053889344264,0.525340082784884
1.2299871450945046,1.0593114758687907
1.565201225589399,0.8690589994717419
-2.933671910587128,-1.1708286791755542
1.8304328587557765,0.4208136508995168
2.8565994358991498,0.409599279597978
1.6518721581589508,0.17130583833735244
-2.859180813498041,-1.1415211411410087
4.216625727935084,-1.7686727010935297
6.276159961772713,-2.5648441466198832
2.8341393365925076,-1.9845362120830132
-2.744841615150398,-1.8459160987049494
-1.7515671372420976,0.4887349225008639
-0.25177019900280984,2.0059063077216064
1.1393991246397241,3.2689165142942893
-2.718872464199787,-1.3747142500065075
-1.7650563022552486,0.019007782204245302
-1.1440561340209245,0.6094179064786761
-0.531304847295786,0.8972330474637318
-2.8764811305468814,-1.1311397182190597
